aktip,aktif
aktifitas,aktivitas
Apotik,Apotek
apotik,Apotek
analisa,analisis
azas,asas
Azas,asas
atlit,Atlet
Atlit,Atlet
Antri,antre 
antri,antre 
Atmosfir,Atmosfer
atmosfir,Atmosfer
Erobik,Aerobic
erobik,Aerobic
ahir,akhir
Ahir,akhir
antar-instansi,antarinstansi
Antar-instansi,antarinstansi
Baud,Baut
baud,Baut
Bis,Bus
bis,Bus
Berfikir,berpikir 
berfikir,berpikir 
Cabe,Cabai
cabe,Cabai
Cinderamata,Cenderamata
cinderamata,Cenderamata
Difinisi,definisi
difinisi,definisi
Disel,Diesel
disel,disel
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Dipindah,dipindahkan
dipindah,dipindahkan
Dollar,Dolar
dollar,Dolar
Daptar,Daftar
daptar,Daftar
Difinisi,Definisi
difinisi,Definisi
Depo,Depot
depo,Depot
Detil,detail
detil,detail
Diagnosa,Diagnosis
diagnosa,diagnosis 
Differensial,diferensial
differensial,diferensial
Dipersilahkan,dipersilakan
dipersilahkan,dipersilakan
Disyahkan,disahkan
disyahkan,disahkan
Eksport,Ekspor
eksport,ekspor
Ekstrim,ekstrem
ekstrim,ekstrem
Ekwivalen,ekuivalen
ekwivalen,ekuivalen
Hembus,embus
hembus,embus
esei,esai
Pebruari,Februari
pebruari,Februari
Phiologi,Fiologi 
phiologi,Fiologi 
Filem,Film
filem,Film
Phisik,fisik
phisik,fisik
Photo,Foto
Photo,Foto
frekwensi,Frekuensi
Frekwensi,Frekuensi
Hapal,hafal
hapal,hafal
Hakekat,Hakikat
hakekat,Hakikat
Hirarki,Hierarki
Hipotesa,Hipotesis
Ijasah,Ijazah
Ihlas,Ikhlas
Himbau,Imbau
Ilmiawan,Ilmuwan
Import,Impor
Insyaf,Insaf
Hisap,Isap
Isteri,Istri
Ijin,Izin
Jadual,Jadwal
Jenasah,Jenazah
Jendral,Jenderal
Kaedah,Kaidah
Karir,Karier
Khutbah,Khotbah
Komplek,Kompleks
Kondite,Konduite
konperensi,Konferesi
Konkrit,Konkret
Konsepsionil,Konsepsional
Koordinir,Koordinasi
Kwalitas,Kualitas
Kwantitas,Kuantitas
Kwitansi,Kuitansi
Lobang,Lubang
Managemen,Manajemen
Manager,Manajer
Memproklamirkan,Memproklamasikan
Menyolok,Mencolok
Mendifinisikan,Mendefinisikan
Menterapkan,Menerapkan
Menterjemahkan,Menerjemahkan
Melola,Mengelola
Mengenyampingkan,Mengesampingkan
Mengeritik,Mengkritik
Mengobah,Mengubah
merubah,Mengubah
Mensukseskan,Menyukseskan
Musti,Mesti
Metoda,Metode
Motip,Motif
Motifasi,Motivasi
nara sumber,Narasumber
Nasehat,Nasihat
Nopember,November
obyek,Objek 
obyektif,Objektif 
On,Ons
Perletakan,Peletakan
Penasehat,Penasihat
Prosentase,Persentase
Pertanggung-jawab,Pertanggungjawaban
Problimatik,Problematic
Produktifitas,Produktivitas
Psikotest,Psikotes
Rejeki,Rezeki
Resiko,Risiko
Rubuh,Roboh
Seksama,Saksama
Sekertaris,Sekretaris
Mumpung,Selagi
Silahkan,Silakan
Sintesa,Sintesis
Sistimatis,Sistematis
Sistim,Sistem
Spesis,Spesies
Spiritual,Spiritual
Standarisasi,Standardisasi
Setasiun,Stasiun
Subyek,Subjek
Subyektip,Subjektif
Survai,Survei
Sutra,Sutera
Sukur,Syukur
Tapsiran,Tafsiran
Tarip,Tarif
Tehnik,Teknik
Terlanjur,Telanjur
Terlantar,Telantar
Terlentang,Telentang
Tilpun,Telepon
Teoritis,Teoretis
Trampil,Terampil
Team,Tim
Tradisionil,Tradisional
Trotoir,Trotoar
Hutang,Utang
Varitas,Varietas
Wasallam,Wasalam
Ujud,Wujud
Jaman,Zaman
Zone,Zona
w,saya
Akyu,saya
Akuwh,saya
Akku,saya
aku,saya
Nax,Anak
Anx,Anak
Naq,Anak
Naggh,Anak
Pa,Apa
Ppa,Apa
Ja,Aja
Ajj,Aja
Lom,Belum
Lum,Belum
Leh,Boleh
Ru,Baru
Wat,Buat
Wad,Buat
Bangedh,Banget
Beud,Banget
Beut,Banget
Bokebb,porno
Cw,Cewek
Cwekz,Cewek
Cwok,Cowok
Cwokz,Cowok
Cuekin,Cuxin
Ckep,Cakep
Ckepp,Cakep
Ckeb,Cakep
C8,Chat
W,saya
Gw,saya
Q,saya
aku,saya
Yupz,Ya
Iy,Ya
Lupz,Ya
Imoeth,Imut
Imoetz,Imut
Mutz,Imut
Inich,Ini
Iniyh,Ini
Nc,Ini
kakagg,Kakak
Kamuh,Kamu
Kamyu,Kamu
Qmu,Kamu
Kamuwh,Kamu
Kammooh,Kamu
qamue,Kamu
Khuzuz,Khusus
Klianz,Kalian
Nal,Kenal
Soalnya,Karena
Coz,Karena
Cz,Karena
Kaluw,Karena
Klw,Karena
Low,Karena
Krenz,Keren
Krent,Keren
Krang,Kurang
Kangedh,Kangen
Kangeunnd,Kangen
Love,Cinta
Luph,Cinta
Luff,Cinta
Loupz,Cinta
Louph,Cinta
Loch,Loh
Lochkz,Loh
Lochx,Loh
Ghiy,Lagi
Ghiey,Lagi
Gi,Lagi
Luthu,Lucu
Uchul,Lucu
Luchuw,Lucu
Lupz,Lupa
Lo,Kamu
Lw,Kamu
lg,Sedang
lgi,Sedang
Gi,Sedang
Nich,Nih
Muuph,Maaf
Muphs,Maaf
Maav,Maaf
Maen,Main
Mumz,Makan
Mamz,Makan
Mums,Makan
Suk ,Masuk
Mzuk,Masuk
Mzug,Masuk
Mzugg,Masuk
Hufft,Mengeluh
Maniezt,Manis
Manies,Manis
Ngak,Tidak
Ga,Tidak
g,Tidak
Niech,Nih
Photo,Foto
Paling,Sangat
P'ling,Sangat
Punya,Milik
Pny,Milik
Pzt,Pasti
Humz,Rumah
Hozz,Rumah
T4,Tempat
Telp,Telepon
Yukz,Yuk
Yuqz,Yuk
Yg,Yang
adlah,adalah
yg,yang
gmana,bagaimana
y,ya
pdhal,padahal
gk,tidak
sdh,sudah
tapi,tetapi
klo,kalau
aq,saya
sy,saya
stiap,setiap
trnsksi,transaksi
ad,ada
bts,batas
pmblian,pembelian
prmo,promo
prmonya,promonya
trs,terus
dlm,dalam
brp,berapa
tq,terima kasih
knp,kenapa
gk,tidak
thanks,terima kasih
gbs,tidak bisa
tapi,tetapi
gitu,begitu
ajah,saja
hrga,harga
sdh,sudah
brp,berapa
kalo,kalau
gak,tidak
gimana,bagaimana
trs,terus
dpet,dapat
ngeliat,melihat
terimakasih,terima kasih
ak,saya
udah,sudah
sy,saya
utk,untuk
trims,terima kasih
mhn,mohon
htl,hotel
bsm,bersama
brkt,berangkat
tgl,tanggal
nan,dan
jd,jadi
sya,saya
tks,terima kasih
ketjup,kecup
smbl,sambil
blm,belum
tsb,tersebut
dg,dengan
ny,nya
diaa,dia
n,dan
nulisssss,menulis
nulis,menulis
kayak,seperti
trus,terus
curi2,Curi-curi
dpt,dapat
teteup,tetap 
plg,paling
dg,dengan
prlu,perlu
bbrp,beberapa
diprhatikan,diperhatikan
ktmu,ketemu
gk,tidak
tempat2,tempat tempat
byk,banyak
drtadi,dari tadi
bagi2,bagi bagi
uda ,sudah
mensyen,mention
brbeda,berbeda
pny,punya
cr,cari
trus,terus
pake,pakai
agr,agar
pmbca,pembaca
trsbt,tersebut
tmpt,tempat 
hrg,harga
prjlanan,perjalanan
lbh,lebih
lgi,lagi
skrng,sekarang
wkt,waktu
hr,hari
org,orang
dg,dengan
td,tadi
sbg,sebagai
msh,masih
trgantung,tergantung
tuket,tiket
mnjadi,menjadi
bwh,bawah
hrs,harus
bgaimana,bagaimana
prjalanan,perjalanan
stelah,setelah
mlelahkan,melelahkan
mngembalikan,mengembalikan
kebnyakan,kebanyakan
dri,dari   
ngirimin,mengirim
enggak,tidak
kecee,kece
itung,hitung
bener,benar
nyumbang,menyumbang
nguntungin,menguntungkan
byr,bayar
nginep,menginap
orgorg,Orang-orang
mnjadi,menjadi
bberapa,beberapa
bln,bulan
uda,sudah
bsa,bisa
mnghsilkan,menghasilkan
jawan,jawab
jawaaab,jawab
bkn,bukan
dg,dengan
apapn,apapun
skedar,sekedar
mncari,mencari
klu,kalau
bs,bisa
bisaaa,bisa
bangeet,banget
gmn,bagaimana
pmbaca,pembaca
prhatikan,perhatikan
komen2,komentar
aja,saja
udah,sudah
engagememt,engagement
jgn,jangan
sblum,sebelum
lbih,lebih
nulis,menulis
mw,mau
ngalir,mengalir
sprti,seperti
hrus,harus
tau,tahu
sprti,seperti
dg,dengan
trus,terus
dlm,dalam
dann,dan
sbnarnya,sebenarnya
sndiri,sendiri
twma,tema
khidupan,kehidupan
teman2,teman
rata2,Rata-rata
sebernanya,sebenarnya
beguna,berguna
pmbcr,pembicara
prtm,pertama
ntah,entah
bg,abang
pngen,ingin
nambah,tambah
kesalahan2,kesalahan
selese,selesai
pnya,punya
sblum,sebelum
sdng,sedang
ttg,tentang
ktmu,ketemu
aksea,akses
mendokkrak,mendongkrak
sering2,sering
lsg,langsung
dmn,dimana
thl,tanggal
dpt,dapat
donk,dong
plmbang,palembang
bndung,bandung
guna,berguna
telfon,telepon
gada,tidak ada
masi,masih
brarti,berarti
tar,nanti
dobel,double
intl,internasional
bs,bisa
say,saya
apalikasi,aplikasi
pd,kepada 
ktiga,ketiga
dn,dan
moga,semoga
karna,karena
untk,untuk
nmr,nomor
kmr,kamar
mskapai,maskapai
memg,memang
traveokanya,travelokanya
melkukan,melakukan
tng,tentang
penjelasanya,penjelasannya
trimakasih,terima kasih
smlm,semalam
dg,dengan
sdh,sudah
saâ€™at,saat
chek,check
krm,kirim
refouds,refounds
mnghubing,menghubungi
ber'arti,berarti
org,orang
pebgaduan,pengaduan
refoudsnya,refounds
apakh,apakah
pemenang,pemenang
skrg,sekarang
statua,status
danayanya,dana
ngantre,mengantri
gak,tidak
haii,hai
dbuka,di buka
dy,dia
sndirinya,sendirinya
ndak,tidak
audah,sudah
kjlsn,kejelasan
ttg,tentang
smp,sampai
nda,tidak
beda2,beda beda
dr,dari   
ga,tidak
makasih,terima kasih
pa,apa 
bs,bisa
d,di  
thn,tahun
Trmn ksh,terima kasih
thks,terima kasih
melakukab,melakukan
tlg,tolong
anak2,anak anak
th,tahun
kmarin,kemarin
diknfirmasike, Dikonfirmasi ke
peswat,pesawat
untk,untuk
bokingnya,bookingnya
mrndapat,mendapat
skitar,sekitar
sblm,sebelum
klo,kalau
beress,beres
bgtu,begitu
tlfn,telepon
kta,kata
tmn,teman
pke,pakai
trf,transfer
bgmana,bagaimana
sdh,sudah
msuk,masuk
mw,mau
nanya,tanya
trus,terus
pemsanan ,pemesanan
masi,masih
ngga,tidak
thx,terima kasih
Tengkyu,terima kasih
telpon,telepon
ktnya,katanya
udh,sudah
slmt,selamat
trm ksh,terima kasih
bmana,bagaimana
min,admin
mmsan,memesan
tapi,tetapi
trus,terus
blm,belum
mendptkan,mendapatkan
tdk,tidak
brngkat,berangkat
tp,tetapi
\n,dan
no,tidak
gt,begitu
mureh,murah
msan,pesan
gue,saya
bgt,banget
krn,karena
gapapa,tidak apa apa
lho,loh
tlp,telepon
sring,sering
srng,sering
srg,sering
x,sangat
mncul,muncul
bgt,sangat
bngt,sangat
sgt,sangat
indoensia,indonesia
indonesiabaru,indonesia baru
indobesia,indonesia
fifaamppssiindonesia,fifa pssi indonesia
sebelumnyasemoga,sebelumnya semoga
ythtuan,yang terhormat tuan
indonesiabangkit,indonesia bangkit
indonedia,indonesia
bolaindonesia,bola indonesia
indonesiauntuk,indonesia untuk
indon,indonesia
dikarenakanfifa,dikarenakan fifa
kaummilenial,kaum milenial
indonsia,indonesia
mengkalimindonesia,mengklaim indonesia
indonesiamenurut,indonesia menurut
mengkambinghitamkan,mengkambing hitamkan
masyarakt,masyarakat
kecewapadahal,kecewa padahal
kanjuruhab,kanjuruhan
kemungkinanliga,kemungkinan liga
denganolahraga,dengan olahraga
mengabarkanbahwa,mengabarkan bahwa
ygmenyebabkan,yang menyebabkan
mengabarkanbahwa,mengabarkan bahwa
fifanamun,fifa namun
rumahpialadunia,rumah piala dunia
jokowimengatakan, jokowi mengatakan
ornag,orang
indivifu,individu
maluuuuuu,malu
kr,karena
kesanaaaa,kesana
uganjar,ganjar
pengibaranpenggunaan,pengibaran penggunaan
terimaksih,terima kasih
disebabkaan,disebabkan
internationalnaja,international saja
kesimpulannyapembatalan,kesimpulannya pembatalan
whoiiiibukankah,bukankah
bolongbatal,bolong batal
penyelenggaraanpiala,penyelenggaraan piala
anaksaya,anak saya
gmna,gimana
disahkanya,disahkannya
pascabatal,pasca batal
gagal menunggu,gagal menunggu
kosterpdippksmui,koster pdip pks MUI
abdurachmanhary,abdurachman hary
samasekali,sama sekali
selesaitidak,selesai tidak
bahwaa,bahwa
antidiskriminasi,anti diskriminasi
kanjuruhanpercayalah,kanjuruhan percayalah
berhasilmenjegal,berhasil menjegal
indonesisia,indonesia
budakpemerintahan,budak pemerintahan
neokolonialismejual,neokolonialisme jual
tsbt,tersebut
pendingtinggal,mending tinggal
jokowisukses,jokowi sukses
batalmereka,batal Menerapkan
tandaiin,tandain
keamannnya,keamanannya
hehebaru,baru
seleuruh,seluruh
ehhgimana,gimana
prabowocapres,prabowo capres
kls,kelas
kemananbukan,kemanan bukan
jakartaterkait,jakarta terkait
latarbelakangnya,latar belakangnya
tenangmasih,tenang masih
indonesi,indonesia
paguyubanpedagang,paguyuban paguyubanpedagang
terdampakkerugian,terdampak kerugian
mnybabkan,menyebabkan
menolakgubernur,menolak gubernur
mndalam,mendalam
hncurnya,hancurnya
tahuntidak,tahun tidak
kjamnya,kejamnya
dibterpa,diterpa
mmpi,mimpi
trnyata,ternyata
kasiaan,kasihan
dongonya,dongo
yutub,youtube
batalx,batal
maksudx,maksud
kitabisa,kita bisa
kreatifsandiaga,kreatif sandiaga
memgembangkan,mengembangkan
gagalnua,gagalnya
menyayankan,menyayangkan
ammimenyesalkan,menyesalkan
pssierickthohiryang,pssi erick thohir yang
sendiriampkedutaan,sendiri kedutaan
thohirsebagai,thohir sebagai
trhdp,terhadap
dibubarin,bubar
hadimuljonomengklaimfifanyatakan,hadi muljono mengklaim fifa nyatakan
tinngal,tinggal
pdipkami,pdip kami
ketdk,ketidak
dilakukanmau,dilakukan mau
pppribadi,pribadi
unasdem,nasdem
simakk,simak
firaungagal,firaun gagal
thohirltigtltigt,thohir
kmren,kemarin
pencapresanpewapresanmalah,capres cawapres malah
mukidigagal,mukidi gagal
merekapara,mereka para
calonpartai,calon partai
partaiiiiiiiiii,partai
partaitrimakasih,partai terima kasih
partaisebelum,partai sebelum
pariwisatasandiaga,pariwisata sandiaga
partainyaitu,partainya itu
itubersih,itu bersih
kitaburuk,kita buruk
goblokdoanya,goblok doanya
hatibersih,hati bersih
jawabannyawaitor,jawabannya waitor
hrsnya,harusnya
hrusnya,harusnya
kerusuhankekacauan,kerusuhan kekacauan
maengak,main tidak
negarapiala,negara piala
dicoretbatal,dicoret batal
wlau,walalupun
indoneisakalopun,indoneisa kalaupun
indonesiauntuk,indonesia untuk
indonesiaargentina,indonesia argentina
indonesiasupporternya,indonesia supporternya
sdmsupporterkeamanan,sdm supporter keamananbukan
wkwkwkwkapakah,apakah
hormatikarena,hormati karena
faktanyaasudahlah,faktanya sudahlah
coretknapaa,coret kenapa
liaat,lihat
tusn,tuan
palestinaindonesia,palestina indonesia
palestinetapi,palestina tapi
palestinenya,palestinanya
palestineeventnya,palestina eventnya
guwaatelll,gatal
gadicoret,tidak dicoret
faktanyaasudahlah,faktanya sudahlah
memberikn,memberikan
begtu,begitu
ligautama,liga utama
ketololanya,ketololannya
rasakecewanya,rasa kecewanya
timnasisraelu,timnas israel
timnasisrael,timnas israel
mlakukannya,melakukannya
kurangtapu,kurang tapi
diamkontradiktif,diam kontradiktif
menakutnakuti,menakut nakuti
undangundang,undang undang
dipertanggungjawabkan,dipertanggung jawabkan
kemananfifa,kemanan fifa
ketidaklayakan,ketidak layakan
kesalahpahaman,kesalah pahaman
keikutsertaan,keikut sertaan
mengorbankqn,mengorbankan
digadanggadang,digadang gadang
pelbagai, berbagai
pembatalanindonesiasebagai,pembatalan indonesia sebagai
dripada,dari pada
memangdampaknya,memang dampaknya
katakata,kata kata
israelamp,israel
israelamerika,israel amerika
israeltidak,israel tidak
israelharusnya,israel harusnya
israelmiris,israel miris
israelll,israel
israeldi,israel di
israelpalestina,israel palestina
israelite,israel
israhell,israel
israellah,israel
ditandatangan,ditanda tangan
keikutsertaannya,keikut sertaannya
ngecewain,mengecewakan
stadionstadion,stadion stadion
seblumnya,sebelumnya
nich,nihh
mgkn,mungkin
latian,latihan
berlarutlarut,berlarut larut
kenggotaan,keanggotaan
bhkn,bahkan
statmennya,statment
statemen,statment
statemen,statment
statemennya,statmennya
statemeeeent,statment
diputarbalikkan,diputar balikan
umumpssi,umum pssi
ganjartidak,ganjat tidak
dmana,dimana
dicancel,di batalkan
aliansimahasiswadanmilenialindonesia,aliansi mahasiswa dan milenial indonesia
keberatankeberatan,keberatan keberatan
membatalksan,membatalkannya
kosterganjar,koster ganjar
rencangrencang,rencang rencang
fifamembatalkan,fifa membatalkan
kementerianpemuda,kementrian pemuda
thohirtelahmenghadap,thohir telah menghadap
akhirakhir,akhir akhir
buzzerp,buzzer
buzzerrp,buzzer
kelompokkelompok,kelompok kelompok
dipastika,dipastikan
pengamatmurni,pengamat murni
penyelenggarabukan,penyelenggara bukan
penyelenggarahalhal,penyelenggara hal hal
dibatalkansebuah,dibatalkan sebuah
dibatalkanya,dibatalkan
udibatalkan,dibatalkan
membayangbayangi,membayang bayangi
berlangsungkelihat,berlangsung kelihat
bersenangsenang,bersenang senang
fifabisa,fifa bisa
persulitsampun,persulit sampun
memprovokasiamp,memprovokasi
membutukn,membutuhkan
inisyaratnya,ini syaratnya
gapernah,tidak pernah
bbrpa,beberapa
sontoloyoserasa,sontoloyo serasa
menjad,menjadi
partaipartai,partai partai
kotakota,kota kota
komentarkomentarnya,komentar komentarnya
impianx,impian 
gabutuh,tidak butuh
yaudh, yaudah
langkahlangkah, langkah langkah
perbuatanselanjutnya, perbuatan selanjutnya
gblh, tidak Boleh
skli, sekali
batalwarganet, batal warganet
itukenapa, itu kenapa
sseeeddiihhs, edih
penandatangananpenanda, tanganan
pemerintahtakpemerintah, tidak
tak, tidak
kezeel, kesal
mrk, mereka
merekapara, mereka para
memprovokasiamp, memprovokasi
kezeel, kesal
benarbenar, benarbenar
kesahnyasoalkegagalan, kesannya soal kegagalan
membagikankeluh, membagikan keluh
denganbaikdengan, baik
adlh, adalah
kt, kita
denganbaik, denagan baik
sedihh, sedih
mana komentar, dimana komentar
paskabatal, paska batal
iyaya, iya
alasanasalan, alasan asalan
pialadunia, piala dunia
ditunggutunggu, ditunggu tunggu
stadionmemiliki, stadion memiliki
stadionutama, stadion utama
turnamenpiala, turnamen piala
gibranganjar, gibran ganjar
pascaperbedaan, pasca perbedaan
semaunyaclear, semuanya clear
semestine, semestinya
mengapafifamembatalkan, mengapa fifa membatalkan
nihhh, ini
komentarkomentar, komentar komentar
mbahas, membahas
siapasiapa, siapa siapa
bangasat, bangsat
ramairamai, ramai ramai
seketikabyngkan, seketika bayangkan
bntr, bentar
kam, kamu
masyk, masuk
bocahmsh, bocah masih
ekonomikita, ekonomi kita
fifatentu, fifa tentu
indonesianamun, indonesia namun
seketikatapi, seketika tapi
komitmenkomitmen, komitmen komitmen
maaih, masih
komunitascentennialzmenggelar, komunitas menggelar
beginisejarahnya, begini sejarahnya
pertanyaanya, pertanyaannya
mungkinseperti, mungkin seperti
perekononomian, perekonomian
tersebutkonyolnya, tersebut konyolnya
pmbatalan, pembatalan
fifacntoh, fifa contoh
kluarkan, keluarkan
smakin, semakin
footagefootage, footage footage
akh, aku
jikafifabenarbenarbannedsepak, jika fifa benar benar banned sepak
widodoikut, widodo ikut
thohirmelakukan, thohir melakukan
presidenfifagianni, presiden fifa gianni
mencampuradukan, mencampur adukan
seburukburuknya, seburuk buruknya
kepalaindonesia, kepala indonesia
indonesiashin, indonesia
pelaksanann, pelaksanaan
blkgan, belakangan
menterimenteri, menteri menteri
bersilitsilit, bersilit silit
skarng, sekarang
menyebabksn, menyebabkan
berlamalama, berlama lama
kepadatimnas, kepada timnas
ujokowimengatakan, jokowi mengatakan
dankecewa, dan kecewa
untungg, untung
batalll, batal
katadata, kata data
kaliankalian, kalian kalian
kecewapartai, kecewa partai
salingmenyalahkan, saling menyalahkan
mediamedia, media media
thotit, thohir
kaliananak, kalian anak
akahirnya, akhirnya
kepalaindonesia, kepala indonesia
ufifa, fifa
palestinapake, palestina menggunakan
nggak, tidak
gak, tidak
ngak, tidak
pristasi, prestasi
krena, karena
bpk, bapak
BapakPolitikIdentitas, Bapak Politik Identitas